🕘️更新时间,#genre#
安徽卫视,http://121.29.141.88:4022/rtp/239.253.92.209:6566
安徽卫视,http://8.138.7.223/tv/dl/careryun.php?id=26
安徽卫视,http://116.237.148.215:8881/rtp/239.45.1.120:5140
重庆卫视,http://121.29.141.88:4022/rtp/239.253.92.10:6053
重庆卫视,http://8.138.7.223/tv/dl/careryun.php?id=37
重庆卫视,http://116.237.148.215:8881/rtp/239.45.1.84:5140
东方卫视,http://satellitepull.cnr.cn/live/wx32dfws/playlist.m3u8
东方卫视,http://121.29.141.88:4022/rtp/239.253.92.89:8019
东方卫视,http://8.138.7.223/tv/shtv.php?id=dfws
东南卫视,http://satellitepull.cnr.cn/live/wx32fjws/playlist.m3u8
东南卫视,http://8.138.7.223/tv/dl/careryun.php?id=33
东南卫视,http://121.29.141.88:4022/rtp/239.253.92.201:6146
东南卫视,http://116.237.148.215:8881/rtp/239.45.1.121:5140
东南卫视,http://171.15.18.199:8180/TV00000000000000000033@HHZT
甘肃卫视,http://8.138.7.223/tv/dl/careryun.php?id=45
广西卫视,http://121.29.141.88:4022/rtp/239.253.92.76:8043
广西卫视,http://116.237.148.215:8881/rtp/239.45.0.5:5140
广西卫视,http://8.138.7.223/tv/dl/careryun.php?id=40
贵州卫视,http://8.138.7.223/tv/dl/careryun.php?id=39
贵州卫视,http://121.29.141.88:4022/rtp/239.253.92.105:6055
贵州卫视,http://116.237.148.215:8881/rtp/239.45.1.80:5140
海南卫视,http://8.138.7.223/tv/dl/careryun.php?id=31
海南卫视,http://116.237.148.215:8881/rtp/239.45.1.81:5140
海南卫视,http://121.29.141.88:4022/rtp/239.253.93.155:6323
河北卫视,http://121.29.141.88:4022/rtp/239.253.92.154:6011
河北卫视,http://8.138.7.223/tv/dl/careryun.php?id=34
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://satellitepull.cnr.cn/live/wxhnws/playlist.m3u8
河南卫视,http://116.237.148.215:8881/rtp/239.45.0.3:5140
河南卫视,http://121.29.141.88:4022/rtp/239.253.92.137:6144
河南卫视,http://8.138.7.223/tv/dl/careryun.php?id=38
河南卫视,http://180.165.10.193:4022/rtp/239.45.0.3:5140
吉林卫视,http://satellitepull.cnr.cn/live/wxjlws/playlist.m3u8
吉林卫视,http://121.29.141.88:4022/rtp/239.253.92.202:6147
吉林卫视,http://8.138.7.223/tv/dl/careryun.php?id=41
吉林卫视,http://180.165.10.193:4022/rtp/239.45.0.6:5140
江苏卫视,http://satellitepull.cnr.cn/live/wx32jsws/playlist.m3u8
江苏卫视,http://8.138.7.223/tv/dl/careryun.php?id=23
江苏卫视,http://121.29.141.88:4022/rtp/239.253.92.88:8018
江苏卫视,http://180.165.10.193:4022/rtp/239.45.3.177:5140
江西卫视,http://8.138.7.223/tv/dl/careryun.php?id=30
江西卫视,http://121.29.141.88:4022/rtp/239.253.92.19:6145
辽宁卫视,http://satellitepull.cnr.cn/live/wxlnws/playlist.m3u8
辽宁卫视,http://8.138.7.223/tv/dl/careryun.php?id=36
辽宁卫视,http://121.29.141.88:4022/rtp/239.253.92.115:6056
辽宁卫视,http://180.165.10.193:4022/rtp/239.45.1.123:5140
辽宁卫视,http://116.237.148.215:8881/rtp/239.45.1.123:5140
内蒙古卫视,http://180.165.10.193:4022/rtp/239.45.1.238:5140
青海卫视,http://8.138.7.223/tv/dl/careryun.php?id=44
山东卫视,http://satellitepull.cnr.cn/live/wxsdws/playlist.m3u8
山东卫视,http://121.29.141.88:4022/rtp/239.253.92.207:8109
山东卫视,http://116.237.148.215:8881/rtp/239.45.3.238:5140
山东卫视,http://8.138.7.223/tv/dl/careryun.php?id=29
山西卫视,http://180.165.10.193:4022/rtp/239.45.1.229:5140
四川卫视,http://121.29.141.88:4022/rtp/239.253.92.16:6043
四川卫视,http://8.138.7.223/tv/dl/careryun.php?id=35
深圳卫视,http://121.29.141.88:4022/rtp/239.253.92.86:8017
深圳卫视,http://180.165.10.193:4022/rtp/239.45.3.231:5140
深圳卫视,http://116.237.148.215:8881/rtp/239.45.3.231:5140
深圳卫视,http://8.138.7.223/tv/dl/careryun.php?id=25
三沙卫视,http://180.165.10.193:4022/rtp/239.45.1.82:5140
天津卫视,http://satellitepull.cnr.cn/live/wxtjws/playlist.m3u8
天津卫视,http://121.29.141.88:4022/rtp/239.253.92.91:8021
天津卫视,http://8.138.7.223/tv/dl/careryun.php?id=43
西藏卫视,http://180.165.10.193:4022/rtp/239.45.1.231:5140
新疆卫视,http://8.138.7.223/tv/dl/careryun.php?id=46

🪁动画频道,#genre#
优漫卡通,http://121.29.141.88:4022/rtp/239.253.93.204:6382
金鹰卡通,http://121.29.141.88:4022/rtp/239.253.92.163:8055
金鹰卡通,http://180.165.10.193:4022/rtp/239.45.0.38:5140
蜡笔小新,http://www.douzhicloud.site:35455/bilibili/30837590
蜡笔小新,http://47.102.149.208:35455/bilibili/30837590
七龙珠,http://www.douzhicloud.site:35455/huya/11601966

🎬电影频道,#genre#
笑傲江湖,http://124.222.114.206:35455/yy/1352833750
新白娘子传奇,http://124.222.114.206:35455/yy/1508902755
林正英电影2,http://zzy789.xyz/douyu1.php?id=7356023
邵氏影院,http://iptv.jxpan.vip:18888/aio/douyu/4246519
邵氏影院,http://zzy789.xyz/douyu1.php?id=4246519
林正英,http://124.222.114.206:35455/yy/1382841203
林正英,http://124.222.114.206:35455/yy/1453996620
成龙,http://124.222.114.206:35455/yy/34460526
功夫电影,http://iptv.jxpan.vip:18888/aio/huya/11352941
寻秦记,http://iptv.jxpan.vip:18888/aio/huya/29465848

🎥戏曲频道,#genre#
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
